I1,I2,I3,gx,gy,gz,ax,ay,az,V1real,V2real,V3real,N1,N2,N3,Tx,Ty,Tphi,Tz,Type
0.442735066666667,0.391453013333333,0.3418802,-0.316666666666667,-5.24466666666667,82.2493333333333,-0.0318359533333333,-0.0289876962666667,-3.2643333333333e-05,747.0,745.2,756.0,12010,12087,12139,-3.569546959261185,294.3512591691114,611.7180244381105,209.8070110172233,1
0.294016873333333,0.441025533333333,0.4102562,0.478666666666667,-1.11,16.6786666666667,-0.0103352723333333,-0.0090006213333333,-0.0025716099333333,154.8,151.2,156.6,2560,2359,2423,0.6194024795919707,-2.025031717059271,129.2515431204524,43.68805536353606,1
0.377777666666667,0.38632448,0.405128066666667,-0.460666666666667,-4.00533333333333,81.0933333333333,-0.0108723733333333,-0.0948242466666667,-0.02167978,729.0,747.0,766.8,12266,12280,12393,55.27905456113637,7.017698896530092,613.8176642741278,208.0679861175341,1
0.251281873333333,0.4376068,0.4017092,-0.102666666666667,-2.332,40.2113333333333,-0.0046223993333333,0.006559246,-0.0019368497333333,347.4,336.6,349.2,5701,5469,5515,0.4786309281853916,-4.212051092179706,303.1576519735167,110.6124183004658,1
0.442735,0.358974133333333,0.237606613333333,0.537333333333333,-2.186,37.0366666666667,0.015348304,0.011116544,0.000602224,334.8,342.0,347.4,5674,5807,5905,-2.45701857198344,1.914707578058188,315.3450287038027,106.9065677458002,1
0.283760533333333,0.442734733333333,0.5470088,0.0486666666666668,-2.12266666666667,35.428,0.0125976586666667,-0.0277343608,-0.0021484486666666,345.6,331.2,343.8,5074,4828,4795,-0.2735042748367553,-19.74509328337743,256.4508737708354,83.45772299339687,1
0.4581196,0.352136533333333,0.2153844,0.297333333333333,-0.95,17.83,0.0050130192,0.0033691392666666,0.0014974041333333,144.0,162.0,167.4,2585,2767,2902,-3.85608135502731,16.38168458323174,147.700438872427,52.15262248683804,1
0.3111108,0.422222066666667,0.357264666666667,0.569333333333333,-0.880666666666667,19.226,0.0009114566666666,0.0017740906666666,0.0038248652666666,158.4,158.4,158.4,2589,2494,2545,0.0,9.685605365938671e-15,139.4314374074515,52.88645864101292,1
0.28846125,0.645833625,0.7227566875,0.83375,0.1,1.269375,0.00852966275,0.008544919375,0.012847904375,-113.0625,-322.3125,453.9375,-1888,-5619,7840,52.22230672941726,-140.5616627603189,3.584673754519173,2.298128912698371,1
0.7726498,0.0,0.7401712,0.686666666666667,0.0726666666666667,0.708666666666667,0.0016275934,0.0062988292,0.0022949306666666,-257.4,-1.8,261.0,-4120,-7,4126,-638.4852145360779,0.1903724425313205,0.3807448850626522,1.40531879451939,1
